id,name,address,rating,review_count
29805,Lujain AL Gharbyah Furnished Units,"Alfalah District, Alharamain Road، Al-Hamadaniyah, Jeddah 23762 23736, Saudi Arabia",3.8,539
29806,Alharirah Furnished Units (Families Only),"Amru Ibn Kalthum Street, Alfaisaliah District, Al Faisaliyah, Jeddah 23447, Saudi Arabia",3.6,28
29807,Happy Beach Group - Al Basatin,"Al Basatin district, Jeddah Saudi Arabia",3.6,298
29808,Worood Al Safawa Villas & Suites,"Sari Street , Al Salama District, Jeddah Saudi Arabia",3.4,514
29809,Monarch Jeddah Hotel Apartment,"Hira St, Al-Nuzhah, Jeddah 23534, Saudi Arabia",3.5,685
29810,Sands Hotel,"2868 Abdul Rahman At Tubayshi, Al Andalus, Jeddah 23326, Saudi Arabia",3.7,3626
29811,Abahi Apartment ( أباهي للأجنحة الفندقية ),"Al Naseem St, Al Naseem, Jeddah 23233, Saudi Arabia",4.7,650
29812,"Landmark International Hotel, Prince Sultan, Jeddah","Arid Ibn Mahshi Street, Prince Sultan Road, Jeddah, 23425, Saudi Arabia",3.8,598
29813,Blue Night Hotel,"Hira St, Ash Shati, Jeddah 23513, Saudi Arabia",3.6,42
29814,Western Lamar Hotel,"Al Naseem, Jeddah 23233, Saudi Arabia",4.1,1860
29815,Novotel Jeddah Tahlia Street Hotel,"Prince Mohammed Bin Abdulaziz Street P O Box 13147 Jeddah, 21493,JEDDAH, SAUDI ARABIA",4.4,6459
29816,Burj Al Balad Hotel Apartment,"Jeddah 21589, Saudi Arabia",3.1,812
29817,Hayat Heraa Hotel,"Fahd Bin Zair Street, Al Zahra District 4, 41531, Jeddah, Saudi Arabia",4.0,628
29818,Konoz Al-Yam Hotel,"أحمد الطيب، Ash Shati, Jeddah 23411, Saudi Arabia",4.0,777
29819,Al Balad Inn Corniche,"Prince Faisal Bin Fahd, Ash Shati, Jeddah 23511, Saudi Arabia",3.5,468
29820,Casablanca Grand Hotel," Madinah Road ,infront of Mall of Arabia, 21481 Yeda, Arabia Saudí",4.4,4994
29821,Alandalus Mall Hotel - Jeddah,"8829 Al Amir Majid Road, Al Faiha District, Jeddah, 22245-3380, Saudi Arabia",4.3,3561
29822,Crown Town Hotel,"Kurnaish Rd., Al Uqsur St. Opp.Jeddah Municipality, Jeddah, Saudi Arabia",4.0,2551
29823,Spectrums Residence Jeddah,"Al Salamah District, Prince Sultan Road, Jeddah, Saudi Arabia",4.0,695
29824,"The Ritz-Carlton, Jeddah","P.O. BOX 13344, Al Hamra District Jeddah, 21493 Saudi Arabia",4.6,13695
29825,"Radisson Blu Hotel Jeddah, Al Salam","Quraysh Road, Al Salamah District, Al Salamah, 21411 Jeddah, Saudi Arabia",4.6,6837
29826,"The Hotel Galleria Jeddah, Curio Collection by Hilton","3131 Rahmat Al Islam, Al Andalus District, Jeddah 23326 9179 Rahmat Al Islam, Al Andalus District, Jeddah 23326 9179, Arabia Saudita",4.5,4421
29827,Prime Hotel Al Hamra,"Al Iskandariyyah St., Al-Hamra, Jeddah, 23212, Saudi Arabia",4.1,2865
29828,Platinum Boutique,"Ahmed Bin Usayb Street , Al Naeem District, 21944, Jeddah, Saudi Arabia ",4.0,931
29829,La Fontaine Al Safwah Suites,"7044 Umm Al Qura, As Safa District, 52935, Saudi Arabia, SA",4.1,227
29830,Frontel hotel,"Alqndeel, Al Aziziyah, Jeddah, 23334, Saudi Arabia",4.3,1740
