id,name,address,rating,review_count
465654,Stargaze Hotel & Apartment,"Stargaze Hotel & Apartment Gulf Shopping Mall Murree Road Abbottabad, Murree RoadAbbottabad 22010, Abbottabad, 22010, Pakistan",4.0,631
465655,Alaf Laila Guest House,"Alaf Laila Guest House Kaghan Colony Opp. Usmania Restaurant Pakhtoonkhwa Bilqias Town Rd, Abbottabad Mansehra RoadMandian KhyberAbbottabad 22010, Abbottabad, 22010, Pakistan",4.1,663
465656,Summer Retreat Hotel,"Plot 113 Near Gpo Green Spot Road, Green Spot Road 113Nathia GaliAbbottabad, Nathia Gali, 32000, Pakistan",4.0,2064
465657,Daisy Dot Murree,"Changla Gali, Changla GaliKPK, Changla Gali, , Pakistan",3.8,1300
465658,Hotel Amore,"Donga Gali, District Abbottabad, Abbottabad, 22010, Pakistan",3.9,1390
465659,Alpine Hotel Nathiagali,"Opp. Sui Gas Office Mansehra Road Abbottabad, , Nathia Gali, , Pakistan",4.3,4098
465660,Marina Inn Guest House,"Ayubia Rd., , Kuzagali, 47150, Pakistan",5.0,1
465661,The Balaj Cottages Kalabagh,"Near Paf Base Kalabagh, , Abbottabad, 22280, Pakistan",4.4,39
465662,Hotel City Center,"Mansehra Road 945, Abbottabad, Abbottabad, 22010, Pakistan",4.2,791
465663,Hilla Apartments Nathia Gali,"Near Telephone Exchange, Sajjan GaliAbbottabad 54000, Abbottabad, 54000, Pakistan",4.6,283
465664,DoubleTree by Hilton Nathiagali,"Plot# 07, Street# 03,, Nathiagali, 22280, Pakistan,, Nathiagali, 22280",5.0,25
465665,Le Grand Murree,"KPK, Abbottabad Rd, , Khaira Gali, , Pakistan",4.4,1115
465666,Hotel Elites,"Nathia Gali Road, , Nathia Gali, , Pakistan",4.2,4548
465667,Silk Way Guest House,"Oppo Ayub Medical College Gate # 1 Mansehra Road, , Abbottabad, 22044, Pakistan",3.6,154
465668,Libra Guest House,"Mansehra Bypass Rd, , Abbottabad, 44000, Pakistan",4.5,19
