id,name,address,rating,review_count
872377,"Fuwairit Kite Beach, Tapestry Collection By Hilton","Building No. 255, Zone 77, Street 3015 Fuwairit, Exit 79, Ash Shamal, 00000 Fuwayrit, Qatar, Al Shamal, 00000, Qatar",4.7,1226
872379,Qatar Desert Beach Camp,"Al Mafjar Intch Exit 87, , Madinat ash Shamal, , Qatar",4.4,25
872383,Zulal Wellness Resort,"Building No. 100, Street 319, Zone, 79 P. O Box 70034, Ar Ruays, Qatar, Al Ruwais, 70034, Qatar",4.5,504
872406,Souq Waqif Boutique Hotels - Tivoli,"Souq Waqlf 1274 Doha P.O. Box 3496, Souq Waqif1274 DohaQatar, Doha, 1274, Qatar",4.5,1143
872411,Regency,"10TH AL ASMAKH STREET, PO BOX 9012, DOHA, Doha, ASMAKH, Qatar",4.2,3639
872414,Rydges Plaza Doha,"Abu Firas St Al Bidda Doha, Old Doha City & CornicheDoha, Doha, 22686, QATAR",4.6,1241
872416,Millennium Central Hotel Doha,"Airport St, , Doha, 14595, Qatar",4.1,2402
872418,Al Safa Royal Suites,"7GHC+M5H, Wadi Musheireb, , Doha, 6715, Qatar",4.2,486
872422,Al Najada Boutique Hotel,"Souq Waqif, DOHA, Doha, 1274, Qatar",4.6,32
872424,Arumaila Souq Waqif Boutique Hotels,"Souq Waqif, DOHA, Doha, 1274, Qatar",4.5,160
872429,New Capital,"Musherib Street, DOHA, Doha, , Qatar",4.3,2179
872435,Sealine Beach a Murwab Resort,"Mesaieed, Mesaieed 50255Katar, Musay`Id, 50255, Qatar",4.4,8710
872437,Al Madina Suites Doha,"No: 42, Al Nada Street, الدوحة،, , Doha, 550, Qatar",4.1,298
872441,Liberty Suites Doha,"06 Al Jazeera St. Bin Mahmoud Bin Mahmoud Area, Bin Mahmoud AreaDoha, Doha, 16620, Qatar",3.7,197
872444,Corp Executive Hotel Doha Suites,"40 Ummgwalina Street, AREA 27 Umm GhuwailinaP.O. Box 23463Doha, Doha, 14961, Qatar",3.9,1676
872446,Fuda Hotel,"Al Muthaf Street, DOHA, Doha, , Qatar",2.7,24
872448,Adam Plaza Hotel Apartments,"Al Sahib Bin Abbad St Near Petrol Station And C Ring Road Najma Area, Doha, Doha, , Qatar",4.8,2394
872452,Imperial Suites Hotel,"P.O. Box 33199 Doha State Of Qatar, Old Al HitmiDoha 33199, Doha, 33199, Qatar",4.2,630
872454,Gulf Pearls Hotel,"Street No 31 Al Nasser Street After C Ring Road, Behind Jarir BookStorePO Box 22389Doha, Doha, 22389, Qatar",3.7,826
872466,Treffen House Doha next to Msheireb Metro Station and Souq Waqif,"Musherib Street, PO BOX 7566Doha, Doha, PO BOX 7566, Qatar",4.3,3798
872472,Inter Diplomat,"AL MUSEUM STREET,, DOHA, Doha, 00000, Qatar",3.7,19
872473,Merwebhotel Al Sadd,"AL SADD STREET, STATE OF QATAR, DOHA, Doha, 22201, Qatar",3.9,19
872475,Musheireb Boutique Hotel,"Souq Waqif, Doha, Doha, 1274, Qatar",4.3,118
872478,Shezan,"Frique Bin Omran. PO BOX 5616, DOHA, Doha, 99999, Qatar",3.8,99
872486,Safir Hotel Doha,"11 Najma, , Doha, 33003, Qatar",4.7,9970
872490,Crystal Palace Hotel Doha,"PO Box-17750, Doha, Doha, 000, Qatar",3.8,476
872492,Wiseman Grand Hotel,"Al Meena Street, Old Salata،, , Doha, 25556, Qatar",3.7,28
872498,Qatar Palace Hotel,"Al Asmakh Street,, 7GJJ+HQR، الدوحة 25556, , Doha, 25556, Qatar",4.5,496
872502,City Inn Al Seef,"Al Mathaf Street, P.O.Box 22920, DOHA, Doha, 974, Qatar",3.6,27
872506,Intercontinental Doha,"Al Istiqlal Road West Bay Lagoon Al Dafna, West Bay, PO Box 6822, PO Box 6822West Bay LagonDoha (arab: الدوحة ad-Dauha; DMG: ad-Dauḥa, ad-Dōha), Doha, 6822, Qatar",4.8,18999
872509,Crowne Plaza Doha The Business Park,"Airport Street, , Doha, 22080, Qatar",4.6,5934
872516,The Ritz Carlton Doha,"1, الدوحة،, , Doha, 23400, Qatar",4.6,5364
872521,Sharq Village & Spa a Ritz Ca,"Ras Abu Abboud St, , Doha, 26662, Qatar",4.6,4793
872523,Al Sadd Suites Hotel,"Al Sadd Area Al Qawafel Street # 38, Al Sadd AreaDoha, Doha, 39110, Qatar",4.3,41
872527,George Ii,"Al Saad Signal Facing Fardan Plaza Al Qods St, Fereej Bin MahmoudDoha, Doha, , Qatar",4.8,2394
872534,Le Mirage Suite,"Al Handasa Street Doha, PO Box 24398Doha, Doha, 24398, Qatar",3.8,16
872537,Al Bidda Boutique Hotel,"Souq Waqif, Doha,Qatar, Doha, 1274, Qatar",4.3,179
872542,Mathema Premium Aparthotel,"Building 71 Al Tawoun Street 63 Onaiza Diplomatic Zone Westbay Onaiza Diplomatic Zone, Westbay, Onaiza Diplomatic ZoneWestbay5823 Doha, Doha, 5823, Qatar",4.2,377
872544,Le Park Hotel,"Jawaan Street,Al Sadd., Al SaddP.O. Box 24835Doha, Doha, 24835, Qatar",3.8,432
872546,Al Mourouj Inn,"Old Salatah Museum Street Doha Qatar, Museum StreetBeside Qatar National MuseumDoha, Doha, 24451, Qatar",3.9,138
872547,Royal Qatar,"Al Asmakh Street, Doha, Doha, P.O BOX 9488, Qatar",4.1,403
872548,Le Grand,"P.O. BOX 24451, DOHA, Doha, , Qatar",4.7,931
872551,Lavilla Palace,"Ibn Abdul Muttalib Street Near Dar Al Kutub Round About, Near Dar Al Kutub Round AboutOld GhanimDoha, Doha, 200408, Qatar",3.7,1121
872554,Elegance Castle Hotel,"Al Maarif Street Al Rufaa Old Doha Cit, 830 Al Maarif StreetAl Rufa'aDoha, Doha, 201570, Qatar",3.7,176
872557,Zubarah Hotel,"Al Rawabi Street Al Muntazah, Al Rawabi StreetP.O. Box 23278Doha, Doha, 23278, Qatar",4.1,705
872560,DoubleTree by Hilton Hotel Doha Old Town,"Al Meena Street, Doha, Doha, 12345, Qatar",4.6,9421
872565,Tio Sea Resort,"Al Khor; Doha Doha, Al Khor, Doha, 5555, Qatar",4.2,1456
872568,Gulf Paradise Hotel,"7GJ9+Q74, Al Khaleej St, , Doha, , Qatar",3.8,388
872571,Doha Gate Inn,"P.O.Box: 31716 Doha, Doha, Doha, , Qatar",3.8,154
872574,Lavilla Inn,"Opp to Gate, 7GCQ+7FJ Souq Al Haraj, 2 ابن فرناس، الدوحة،, , Doha, 23095, Qatar",3.7,490
872578,Golden Coast,"MUSEUM STREET,CORNICHE, PO BOX 30919,DOHA,QATAR, DOHA, Doha, 30919, Qatar",3.7,2980
872582,Grand Suite,"Old Al Ghanim Road, Doha, Doha, , Qatar",4.7,931
872585,Lavilla Hotel,"IbnAqeel Street, Behind Gold SouqDohaQatar, Doha, 23095, Qatar",3.6,1412
872587,Grand Hyatt Doha Hotel & Villas,"West Bay Lagoon, West Bay LagoonDoha, Doha, 0, Qatar",4.5,4890
872589,Sehati Suite,"1153 Jawaan Street Al Saad, PO Box 47683Doha, Doha, POBOX47683, Qatar",4.7,1504
872591,Oasis Hotel And Beach Club,"RAS ABOUD, PO BOX 717,, DOHA, Doha, Po Box 717, Qatar",4.0,633
872594,Al Bustan,"P.O.Box: 955 Doha Qatar. ., Doha, Doha, 955, Qatar",0.0,0
872600,Al Ghazal,"DOHA QATAR NAJMAH IBFIRNAS STREET, DOHA, Doha, 00974, Qatar",0.0,0
872601,Al Nakheel,"Near Souq Waquif, Al Asmakh Street, P.O. Box 5662, DOHA, Doha, 5662, Qatar",0.0,0
