id,name,address,rating,review_count
450695,The Ritz Carlton Abu Dhabi Grand Canal,"الروضة - المقطع - ابو ظبي, , Abu Dhabi, 91888, United Arab Emirates",4.6,6604
450702,ibis Abu Dhabi Gate,"Road 34, Gate City Bain Al JessrainP.O. Box 92156Abu Dhabi, Abu Dhabi, PO 92156, United Arab Emirates",4.6,10929
450709,Novotel Abu Dhabi Al Bustan,"Shk. Rashid Bin Saeed St - شارع ربدان - السعادة - Zone 1 - ابو ظبي, , Abu Dhabi, 0, United Arab Emirates",4.7,18223
450712,Swiss Hotel Corniche,"F9XC+9RR - Sheikh Zayed St - Al Zahiyah - E13, , Abu Dhabi, 46696, United Arab Emirates",3.5,178
450715,Rosewood Abu Dhabi,"Galleria Shopping Mall - Level B3 - Al Maryah St - Al Maryah Island - Abu Dhabi Global Market Square, , Abu Dhabi, 00000, United Arab Emirates",4.6,5381
450717,Premier Inn Abu Dhabi Airport Business Park,"Abu Dhabi International Airport , Opposite Terminals 1 & 3, Connected to Terminals 1 & 3,, Abu Dhabi, 95219, United Arab Emirates",4.3,9764
450719,Erth Abu Dhabi,"Al Khaleej Al Arabi Road, P.O. Box 6382Abu Dhabi, Abu Dhabi, 29810, United Arab Emirates",4.6,980
450721,Ramee Guestline Hotel Apartments 1,"P.O. BOX 32956, ABUDHBAI, Abu Dhabi, 32956, United Arab Emirates",3.6,272
450726,Oaks Liwa Executive Suites,"Tourist Club Area, Plot C-19 - Sector E-16 - الزاهية - E16-01 - ابو ظبي, , Abu Dhabi, 52920, United Arab Emirates",4.1,396
450727,Millennium Downtown Abu Dhabi (Ex. Crowne Plaza Abu Dhabi),"Hamdan Street Po Box 3541 3541 Abu Dhabi, P.O.Box: 3541Abu Dhabi, Abu Dhabi, 3541, United Arab Emirates",4.4,6431
450731,Le Royal Meridien Abu Dhabi,"Sheikh Khalifa Street - Al Danah - E9-01, , Abu Dhabi, 45505, United Arab Emirates",4.4,4608
450733,Centro Capital Centre by Rotana,"Al Khaleej Al Arabi Street Capital Centre Adjacent To Adnec Exhibition Centre Adjacent to ADNEC Exhibition Centre, P.O. Box 44493Abu Dhabi, Abu Dhabi, 44493, United Arab Emirates",4.5,4790
450735,Ramee Royal Hotel Apartments,"Muroor Road, City CenterAbu Dhabi 51153, Abu Dhabi, 51153, United Arab Emirates",4.3,121
450736,AG Hotel,"Signal No 15 - Muroor Road - ال نهيان - E22 - ابو ظبي, , Abu Dhabi, 52957, United Arab Emirates",3.8,890
450749,Phoenix Plaza Hotel Apartments,"Building # 637,old airprt road,Behind al wahda mall - Al Nahyan - Zone 1, , Abu Dhabi, 126503, United Arab Emirates",4.0,698
450751,Khalidiya Palace Rayhaan by Rotana,"Corniche St - Al Khubeirah, , Abu Dhabi, 4010, United Arab Emirates",4.7,12200
450753,Ivory Hotel Apartment,"Salam Street, , Abu Dhabi, 130220, United Arab Emirates",3.8,678
