id,name,address,rating,review_count
451886,Anantara Downtown,"Anantara Downtown Hotel Dubai - Business Bay, , Dubai, , United Arab Emirates",4.7,9036
451896,Nihal Residency Hotel Apartments,"16 A Street - Al Mankhool, Bur Dubai - Al Mankhool, , Dubai, 25295, United Arab Emirates",3.6,493
451897,Fairmont Dubai,"Sheikh Zayed Rd - Trade Centre - Trade Centre 1, , Dubai, 97555, United Arab Emirates",4.7,12763
451898,Shangri La Hotel Dubai,"Sheikh Zayed Rd Near Financial Metro Station - Trade Centre - Trade Centre 1, , Dubai, 0000, United Arab Emirates",4.6,8891
451899,Movenpick Hotel Jumeirah Lakes Towers Dubai,"Cluster A, Jumeirah Lakes Towers, Jumeirah Lakes TowersPO Box 454439Dubai, Dubai, 454439, United Arab Emirates",4.6,6493
451901,Marriott Hotel Al Jaddaf Dubai,"Oud Metha Rd - Al Jaddaf, , Dubai, 122273, United Arab Emirates",4.4,6756
451902,The Apartments Dubai World Trade Centre,"Sheikh Zayed Road P.O. Box 9229, P.O. Box 9229Dubai, Dubai, 9229, United Arab Emirates",4,1489
451905,Al Raya Hotel Apartments,"Bur Mankhool Area Kuwait Street, Kuwait StreetDubai, Dubai, 124899, United Arab Emirates",3.7,796
451907,Al Waleed Palace Hotel Apartments Oud Metha,"Oud Metha, Bur Dubai, Dubai, United Arab Emirates Opp. Lamcy Plaza Shopping Centre, , Dubai, 120242, United Arab Emirates",3.9,883
451912,Pride Hotel Apartments,"Sheikh Zayed Road, Opposite Sharaf Dg Metro Station OPPOSITE SHARAF DG METRO STATION, P.O. Box 113601Al Barsha-1Dubai, Dubai, 113601, United Arab Emirates",3.7,72
451914,Dream City Hotel Apartments,"Al Riqqa, Behind Clock TowerDeiraDubai, Dubai, 183230, United Arab Emirates",4.2,281
451919,Jood Palace Hotel Dubai,"36-A Street Off Al Rigga Road, Deira - Near Al Rigga Metro Station - ديرة - دبي, , Dubai, 42211, United Arab Emirates",4.2,2227
451930,Baity Hotel Apartments,"Kuwait Road 67XW+FH8 Al Mankhool Area - Bur Dubai, , Dubai, 124052, United Arab Emirates",4.2,709
451932,Nassima Tower Hotel Apartments,"P O Box 49260 Sheikh Zayed Road, Dubai, Dubai, NULL, United Arab Emirates",0,0
451936,JW Marriott Marquis Hotel Dubai,"Business Bay, , Dubai, 121000, United Arab Emirates",4.6,21110
