id,name,address,rating,review_count
18786,Hotel Hotel Shelton Inn D.G Khan,"Fareedi Bazar Road, 32200, Dera Ghazi Khan, Pakistan",4.7,229
18787,OVERSEAS HOTEL AND SUITES,"Manka Road, New Model Town, 32200, Dera Ghazi Khan, Pakistan",4.5,51
18788,Hotel One DG Khan,"Taunsa Road, Opposite New Art Council, 32200, Dera Ghazi Khan, Pakistan",4.0,996
38618,Hotel Royal Samah,"New City Bypass Road, 21300, Mansehra, Pakistan",4.0,872
38619,Khan Continental Hotel & Restaurant,"Shah Nawaz Chowk, Mansehra, 21300, Pakistan",4.3,347
38620,Karakuram Hotel,"Mansehra Bypass Rd, 21310, Pakistan",4.2,688
38621,Hotel Cedar Inn,"Bypass Road, 21210, Mansehra, Pakistan",3.8,136
38622,Waterstone's Hotel,"Vjxxpxh Bypass Road, Naran, 21200, Mansehra, Pakistan",5.0,1
38623,Husnain Resort,"Srsp Link Rd, 21300, Mansehra, Pakistan",4.6,243
80263,Gilgit Gateway Hotel,"Riaz Rd, Beshot, Jutial, W85pwc3, 15701, Gilgit, Pakistan",4.1,716
80264,Jamal Hotel,"Airport Rd, 15100, Gilgit, Pakistan",5.0,2
80265,Rockwood Resort,"Gilgit Road, Naran Kpk., 21210, Pakistan",4.5,231
80266,Sada Bahar Inn Hotel,"Jutial, Near Bus Stand, 15600, Gilgit, Pakistan",4.2,14
80267,canopy nexus,"River View Rd, 05811, Gilgit, Pakistan",4.2,222
80268,Hotel Express,"Shahr-E-Quaid - E - Azam, 15100, Gilgit, Pakistan",3.9,842
80269,Relax Inn Hotel,"Main Shahrah-E-Quaid-E-Azam, Jutial, 15701, Gilgit, Pakistan",3.9,152
80270,Palace Hotel Gilgit,"Col Hassan Rd, 15701, Gilgit, Pakistan",3.9,34
80271,Capital Lodge Gilgit,"Shahr-E-Quaid - E - Azam, 15600, Gilgit, Pakistan",3.9,53
80272,Gilgit Embassy Lodge,"Dumial Link Rd, 15100, Gilgit, Pakistan",4.1,143
80273,Hotel shaheen International,"Airport Rd, 15100, Gilgit, Pakistan",4.0,425
80274,Park Hotel Gilgit,"Opposite Green Dragon Chinese Restaurant, Airport Road, Kashirot, Gilgit,, 15100, Pakistan",4.2,1286
80275,Citi Hotel Gilgit,"Airport Road, Saif Ur Rehman Link Road, Kashirot, 16301, Gilgit, Pakistan",4.1,213
80276,Blossom Guest House Gilgit,"Naveed Shaheed Road Jamat Khans, Near Zulfiqar Abad Bridge, 15100, Gilgit, Pakistan",4.3,68
80277,TOURIST WORLD HOTEL Gilgit,"Opposite Of Imamia Market,Near General Bus Stand, 15101, Gilgit, Pakistan",4.1,79
80278,Skardu Paradise Hotel Gilgit,"W89656, 15101, Gilgit, Pakistan",4.6,40
80279,Countryside Resort Gilgit,"W7g4f42, Near Rcc Bridge, 15101, Gilgit, Pakistan",4.9,34
80280,New Gojal Hotel And Restaurant,"General Bus Stand, 15600, Gilgit, Pakistan",4.3,10
80281,New Green Hotel,"Airport Rd, 15701, Gilgit, Pakistan",3.6,639
80282,Saman Hotel,"Near Bus Stand, Jutial, 15500, Gilgit, Pakistan",4.2,142
80283,Heaven Lodge,"River View Road, 15100, Gilgit, Pakistan",4.0,1410
80284,Hotel 1947,"Chappra Naran, 21210, Gilgit, Pakistan",4.5,18
80285,Hotel Oasis International,"Opposite Gilgit Baltistan Assembly, 15100, Pakistan",4.4,73
80286,Paradise Hotel And Restaurant,"River View Rd, 23345, Gilgit, Pakistan",3.7,834
80287,Yasin Holiday Hotel,"Shaheed Saif Ur Rehman, Link Road Kashrote Gilgit, 15100, Pakistan",4.1,31
80288,Duroyou Inn,"Public School & College Rd, 15100, Gilgit, Pakistan",4.8,366
80289,Avari Xpress Gilgit,"Shahrah-E-Quaid-E-Azam, 15100, Gilgit, Pakistan",4.5,432
80290,Indus Lodges Gilgit,"River View Rd, 15100, Gilgit, Pakistan",4.8,2280
80291,Columbine Bed And Breakfast,"Near General Bus Stand, 15100, Gilgit, Pakistan",4.2,1584
80292,The Mandarin Inn,"Near Forest Office, Quaid E Azam Road, Jutial, 15100, Gilgit, Pakistan",4.2,219
80293,Hotel Riveria,"Sost, Upper Hunza, Hunza-Nagar, 15101, Gilgit, Pakistan",4.0,411
80294,Naveed Tourist Inn,"Chinar Bagh Link Road, 15100, Gilgit, Pakistan",4.4,138
80295,Gilgit Serena Hotel,"Sherullah Beg Road,Jutial, Rais Road, Gilgit 15100",4.5,2014
81239,HOTEL CROWN,"A/21, Block-C, Unit No.7 Latifabad No.7, 74300, Hyderabad, Pakistan",4.4,402
81240,Al-Raheem Guest House,"Auto Bahn Road, 71000, Hyderabad, Pakistan",4.1,143
81241,Hotel Paradise Lounge,"Main Autobhan Road Beside And Behind, Mcdonalds Autobhan Giddu Chowk Latifabad, 17000, Hyderabad, Pakistan",4.2,200
81242,Mawadda inn Guest House,"Auto Bahn Road, 71000, Hyderabad, Pakistan",3.8,338
81243,Saibaan Guest House,"House # B2/22. Railway Coop Housing, Auto Bhan Road, 71000, Hyderabad, Pakistan",3.6,202
81244,Hotel Indus,"Thandi Sarak, 71000, Hyderabad, Pakistan",4.0,389
81245,Hotel Inn Hyderabad,"Main Auto Bahn Road B2/1 Behind Dubai Islamic Bank, 71800, Hyderabad, Pakistan",3.8,68
82733,Margalla Lodge,"22-a, College Rd, Islamabad, Pakistan",4.8,1928
82734,Grand Islamabad Hotel,"Islamabad, Pakistan",4.3,2596
82735,Hotel One Super Islamabad,"House # 36, Main Agha Khan Road, F-6/4, Islamabad 44000, Pakistán",4.4,2205
82736,Royal Manor,"Plot - 03 St-30 F-7/1, 00000, Islamabad, Pakistan ",4.4,29
82737,Dreamland Hotel,"4 - Islamabad Club Road, 46000, Islamabad, Pakistan",3.9,11
82738,Grace Guest House,"House 27, School Road, F-6/1, F-6 Sector, Pakistan",4.4,587
82739,Grand Regency Hotel,"Muree Road, 1 Club Road, 44000, Islamabad, Pakistan",4.0,1030
82740,Diplomat Hotel,"3-S, Near Allied Bank Limited, G-7 Markaz., 44000, Islamabad, Pakistan",4.1,1272
82741,Larish Residency,"House No. 10 ,Street 12 , F-7/2, F-7 Sector, Pakistan",4.1,1346
82742,Serene Residence,"Street 103 E-11/1, E-11 Sector, 44000, E-11 Sector, Pakistan",4.1,9
82743,Le Grand Residence,"House 314 street 84 E-11/2, 44000, E-11 Sector, Pakistan",4.4,2630
82744,Hotel One Jinnah,"Jawa Tower, i 9 Merkaz Islamabad, I-9 Sector, 44000 Islamabad, Pakistán",4.2,3405
82745,Shangrila Hotels & Resorts,"House# 24, Corner of Street# 33, F-6/1, 44000, Islamabad, Pakistan",4.4,6781
