id, name, address,rating,review_count
29972,Narcissus 88 Boutique Hotel,"Al Corniche Branch Road, Al Ruwais, Jeddah, P.O. Box 75, Riyadh, 11351, Saudi Arabia",4.5,14693
242564,Executives Hotel - Azizia,"11564 Southern Ring Branch Rd, Al Masani, Riyadh 14512 11564, Saudi Arabia",3.8,1786
242565,Gloria Inn,"شارع البطحاء مبنى ٣٠٠, Al Marqab, Riyadh 12661, Saudi Arabia",4,2386
242566,Hayatt Home Hotel,"King Abdullah Street, Al Hamra, 99999, Riyadh, Saudi Arabia",4.5,1840
242567,Mira Trio Hotel,"Prince Mohammed Bin Abdulaziz Road , Al Suliamaniah, Al Sulimania, 11721, Riyadh, Saudi Arabia",3.7,987
242568,Comfort Inn Hotel Suites,"2488 Al Hussain Ibn Ali, At Taawun, Riyadh 12477, Saudi Arabia",2.9,545
242569,Ascott Rafal Olaya Riyadh,"7706, Sahafa Olaya Street, P.O.Box 2396, Riyadh 13321, Saudi Arabia",4.1,4681
242570,Ashbonh of Hotel Suites,"Olaya St, Al Wurud, Riyadh 12251, Saudi Arabia",3.9,700
242571,Rand by wandalus,"PO Box 13041, Riyadh 11493, Saudi Arabia.",3.7,1986
242572,Beautiful Moment Furnished Apartments,"An Narjis, Riyadh 13328, Saudi Arabia",3.7,189
242573,Corner Bahia,"11461 Shabab, Al Aziziyah, الرياض 14515 11461",4.2,1200
242574,SHADA HOTEL,"Ar Rabi, Riyadh 13315, Saudi Arabia",4.8,1337
242575,Rest Night Hotel Suites- - AL Nafal,"An Nafl, Tuwaiq, Riyadh 13312, Saudi Arabia",3.3,1161
242576,Al Mutlaq Hotel Riyadh,"King Abdel Aziz Road, P O Box 3525, Riyadh, 11481, Saudi Arabia",3.9,2649
242577,Suite Inn Hotel,"7194 Prince Musaad Bin Abdulaziz St, As Sulimaniyah, Riyadh 12232-3231, Saudi Arabia",4.1,1680
242578,Intour Al Sahafa Hotel,"7561, Al Yasmin, Riyadh 13322, Saudi Arabia",3.7,330
242579,Merfal Royal new,"Alemam Saud bin Abdalaziz Street, Riyadh, 12282, Arabia Saudí",3.7,157
242580,Al Muhaidb Alghzali Hotel,"Salah Ad Din Ayyoubi Rd, Near the NCB Bank, Riyadh 11461, Arabia Saudita",4.8,1337
242581,ALmuhaidb Jarir,"ALMALAZ ALIHSA St with Jarir Ryadh, KSA, 38138, Riyadh, Saudi Arabia",3.6,414
242582,Swiss International Royal Hotel,"King Fahad Rd., Al Safaha District P.O Box 18018, Riyadh 11415, Kingdom Of Saudi Arabia",4.1,1012
242583,Almuhaidb Alnarges,"Exit 6 ,Othamn Bin Affan St.,, 13323 Riad, Arabia Saudí ",3.5,573
242584,Aswar Hotel Riyadh,"Exit 8 Dammam Road, Service Road, Qurtubah District, Riyadh, 26701, Arabia Saudita",4.2,733
242585,Hilton Riyadh Hotel & Residences,"6623 AL SHOHADAA EASTERN RING ROAD, RIYADH, 13241-2892, SAUDI ARABIA",4.5,17997
242586,Al Muhaidb Al Nadwaa,"Khorais Street, Exit 36 Khurais Road near Prince Mohammed bin Naif University, Nadwaa, Riyadh, Saudi Arabia",3.5,486
242587,AlMuhaidb Suwaidy 25,"Exit 25, Aisha Street, Western Ring Branch Road, Riyadh, 11522, Saudi Arabia ",2.9,208
242588,Durrat Al Riyadh Resort & Spa,"P.O. Box 65812 Riyadh 11566, Kingdom of Saudi Arabia Riyadh, Saudi Arabia",4.3,1656
242589,Merfal Hotel Apartments Al Taawan,"Imam Mohamed Ibn Saud Street , Al Taawan District, 31311 Riyadh, Saudi Arabia",3.5,572
242590,Braira Qurtubah Hotel,"Al-Roshd street, Qurtobah, Riyadh 13245, Suadi Arabia",4.1,6668
242591,Melissa Hotel Riyadh,"Al-Shuhada District | Al-Shuhada District, Riyadh 10532, Arabia Saudita",4.1,1464
242592,Tulip Inn Modon Riyadh,2nd Industrial city road 201 Al Kharj Road 11461 Riad,4,107
242593,Almuhaidb Residence Ghranta,"Malaz sixty Street opposite Granada, 11461, Riyadh, Saudi Arabia",3.7,883
242594,Braira Al Wezarat,"King Abdulaziz Road, Al Wezarat District, 11351 Riad, Arabia Saudí",4.4,3338
242595,Al Muhaidb Takhassusi 30,"Takhassusi St 537, Al Mathar Ash Shamali, Riyadh, 11345, Arabia Saudita",3.4,738
242596,Dorar Darea Hotel Apartments - Al Nafl,"Mohammed Al Maqdmi Street, Riyadh, Saudi Arabia",4.1,6342
242597,Dorar Darea Hotel Apartments - Al Mughrizat,"Prince Meqren Bin Abdulaziz Street, Riyadh, Saudi Arabia",3.4,351
242598,AlMuhaidb Furnished Units King Abdulaziz,"Near King Abdlaziz University Hospital, Riyadh, Saudi Arabia",3.7,883
242599,AlMuhaidb For Residential Units- Abaqrino,"Al Takhassusi Street, 11564, Riyadh, Saudi Arabia",3.4,738
242600,Holiday khaleej,"Othman Ibn affan 7734, 13313, Riyadh, Saudi Arabia",4.1,1837
242601,Asoul Najed 2 Hotel Suite,"Al Farazdaq Al Malaz ( In front Of Ministry Of Administrator ), 11564, Riad, Saudi Arabia",3.8,13
242602,Aber Al Yasmin,"Anas Ibn Malik Road - Al Yasmin District, 11372, Riad, Saudi Arabia",4.2,1747
242603,Al Musafer Hotel Riyadh,"2696 Prince Sultan Bin Abd Alziz Street , As Sulimaniyah District, 12234, Riad, Saudi Arabia",2.3,3
242604,Olian Hotel,"3386 Imam Saud Bin Faisal Road - al yasmin - Unit N1 Ar Riyadh 13322-6314, 13321, Riad, Saudi Arabia",3.9,2273
